Country,Latitude,Longitude,Deaths
Ecuador,-1.467,-78.442,
Iceland,63.633,-19.633,2
Guatemala,14.382,-90.601,1
United States,16.88,145.85,
Indonesia,2.781,125.407,4
Indonesia,3.17,98.392,2
Indonesia,-7.54,110.446,367
Ecuador,-1.467,-78.442,
Indonesia,-7.942,112.95,
Indonesia,-7.54,110.446,1
Japan,31.934,130.862,
Philippines,12.769,124.056,1
Indonesia,2.781,125.407,
Ecuador,-1.467,-78.442,
Chile,-40.59,-72.117,
Eritrea,13.37,41.7,31
Iceland,63.633,-19.083,
Indonesia,1.358,124.792,1
Indonesia,0.8,127.33,4
United States,19.421,-155.287,
United States,19.421,-155.287,
Russia,55.832,160.326,
Indonesia,-7.54,110.446,1
Indonesia,-8.32,121.708,
Philippines,13.257,123.685,5
Indonesia,-8.32,121.708,5
Peru,-16.355,-70.903,
Japan,31.593,130.657,
Indonesia,3.17,98.392,
New Zealand,-38.12,176.5,1
Indonesia,3.17,98.392,17
Indonesia,-7.93,112.308,7
Japan,35.893,137.48,55
United States,19.421,-155.287,
Cape Verde,14.95,-24.35,
Indonesia,0.8,127.33,1
Indonesia,3.17,98.392,
Chile,-41.33,-72.618,
Japan,31.44,140.051,
Indonesia,2.781,125.407,
Papua New Guinea,-4.08,145.037,
Indonesia,3.17,98.392,1
New Zealand,-38.12,176.5,1
Indonesia,3.17,98.392,1
Indonesia,3.17,98.392,7
United States,44.43,-110.67,1
Indonesia,-8.42,116.47,
Japan,32.884,131.104,
Italy,37.748,14.999,
Indonesia,3.17,98.392,
Guatemala,14.473,-90.88,
Indonesia,-7.2,109.879,8
Italy,40.827,14.139,3
Vanuatu,-15.389,167.835,
Indonesia,-7.54,110.446,8
Indonesia,3.17,98.392,
Papua New Guinea,-3.608,144.588,
Philippines,13.257,123.685,
Japan,36.618,138.528,1
United States,19.421,-155.287,1
Papua New Guinea,-3.608,144.588,
Indonesia,-8.058,114.242,
Vanuatu,-15.389,167.835,4
United States,19.421,-155.287,
Japan,31.44,140.051,
Guatemala,14.473,-90.88,201
United States,19.421,-155.287,
Papua New Guinea,-4.08,145.037,
Vanuatu,-16.25,168.12,
Indonesia,-6.102,105.423,
Italy,37.748,14.999,
Papua New Guinea,-4.08,145.037,
Indonesia,3.17,98.392,
Papua New Guinea,-5.05,151.33,
Papua New Guinea,-4.08,145.037,
Italy,38.789,15.213,1
Italy,38.789,15.213,
New Zealand,-37.52,177.18,22
Philippines,14.002,120.993,39
Indonesia,-8.058,114.242,1
Ecuador,-2.005,-78.341,
Guatemala,14.382,-90.601,
St. Vincent & the Grenadines,13.33,-61.18,
"Congo, DRC",-1.52,29.25,32
Spain,28.57,-17.83,1
Indonesia,-8.108,112.922,51
Tonga,-20.536,-175.382,
Tonga,-20.536,-175.382,
Tonga,-20.536,-175.382,
Mexico,19.023,-98.622,1